zip,state,name,lat,lng
80812,CO,Cope,39.746227,-102.988098
80814,CO,Divide,38.957622,-105.19937
80815,CO,Flagler,39.312654,-103.062395
80816,CO,Florissant,38.827669,-105.226106
80817,CO,Fountain,38.699563,-104.700469
80818,CO,Genoa,39.338328,-103.460689
80820,CO,Guffey,38.814584,-105.57835
80821,CO,Hugo,39.084318,-103.498971
80822,CO,Joes,39.672771,-102.615134
80823,CO,Karval,38.71194,-103.500613
80824,CO,Kirk,39.617072,-102.477554
80825,CO,Kit Carson,38.803984,-102.819842
80827,CO,Lake George,39.034233,-105.434654
80828,CO,Limon,39.27126,-103.685572
80829,CO,Manitou Springs,38.854994,-104.905839
80830,CO,Matheson,39.132044,-103.913165
80831,CO,Peyton,38.954097,-104.54722
80832,CO,Ramah,39.073571,-104.124733
80833,CO,Rush,38.764248,-104.024065
80834,CO,Seibert,39.318329,-102.882184
80835,CO,Simla,39.146457,-104.086236
80836,CO,Stratton,39.308733,-102.597928
80840,CO,United States Ai,38.990448,-104.860139
80861,CO,Vona,39.323564,-102.739287
80863,CO,Woodland Park,38.996929,-105.062292
80864,CO,Yoder,38.775252,-104.218353
80903,CO,Colorado Springs,38.838832,-104.814466
80904,CO,Colorado Springs,38.853318,-104.859513
80905,CO,Colorado Springs,38.837692,-104.836997
80906,CO,Colorado Springs,38.790164,-104.819893
80907,CO,Colorado Springs,38.876001,-104.817034
80908,CO,Colorado Springs,39.023745,-104.693331
80909,CO,Colorado Springs,38.852038,-104.773483
80910,CO,Colorado Springs,38.815164,-104.770299
80911,CO,Colorado Springs,38.745665,-104.722322
80913,CO,Fort Carson,38.741967,-104.782218
80914,CO,Cheyenne Mtn Afb,38.784241,-104.719052
80915,CO,Colorado Springs,38.855845,-104.713422
80916,CO,Colorado Springs,38.807619,-104.74034
80917,CO,Colorado Springs,38.886027,-104.739904
80918,CO,Colorado Springs,38.912924,-104.773444
80919,CO,Colorado Springs,38.926795,-104.84642
80920,CO,Colorado Springs,38.949732,-104.766951
80921,CO,Colorado Springs,39.048674,-104.814042
80922,CO,Colorado Springs,38.90503,-104.698161
80925,CO,Colorado Springs,38.731329,-104.660087
80926,CO,Colorado Springs,38.698073,-104.85051
80928,CO,Colorado Springs,38.623261,-104.457043
80929,CO,Colorado Springs,38.796837,-104.607857
80930,CO,Colorado Springs,38.828926,-104.526924
81001,CO,Pueblo,38.287876,-104.584828
81003,CO,Pueblo,38.284277,-104.62337
81004,CO,Pueblo,38.244063,-104.627829
81005,CO,Pueblo,38.235157,-104.660031
81006,CO,Pueblo,38.24465,-104.531834
81007,CO,Pueblo West,38.319975,-104.743264
81008,CO,Pueblo,38.313251,-104.628433
81020,CO,Aguilar,37.393304,-104.676926
81021,CO,Arlington,38.40677,-103.369741
81022,CO,North Avondale,38.211603,-104.359686
81023,CO,Beulah,38.083712,-104.97245
81025,CO,Boone,38.264614,-104.25851
81026,CO,Brandon,38.485133,-102.781906
81027,CO,Branson,37.051775,-103.874115
81028,CO,Bristol,38.133184,-102.342642
81029,CO,Campo,37.119547,-102.546423
81036,CO,Chivington,38.444141,-102.50536
81039,CO,Fowler,38.123071,-104.029908
81040,CO,Farisita,37.763753,-105.237397
81041,CO,Granada,38.054485,-102.32712
81043,CO,Hartman,38.145291,-102.186609
81044,CO,Caddoa,38.107347,-102.933145
81045,CO,Haswell,38.447431,-103.150543
81047,CO,Holly,38.0205,-102.141466
81049,CO,Villegreen,37.331189,-103.358348
81050,CO,Timpas,37.991552,-103.549068
81052,CO,Lamar,38.084136,-102.619195
81054,CO,Deora,38.065514,-103.208492
81055,CO,Cuchara,37.498292,-105.012994
81057,CO,Mc Clave,38.150484,-102.816934
81058,CO,Manzanola,38.110861,-103.876602
81059,CO,Delhi,37.478533,-104.13074
81062,CO,Olney Springs,38.201877,-103.941033
81063,CO,Ordway,38.209546,-103.800277
81064,CO,Utleyville,37.355885,-102.893106
81067,CO,Rocky Ford,38.049016,-103.725143
81069,CO,Rye,37.937145,-104.886257
81071,CO,Towner,38.462172,-102.295367
81073,CO,Springfield,37.406727,-102.617322
81076,CO,Sugar City,38.244368,-103.655557
81080,CO,81080,38.438391,-102.108268
81081,CO,Trinchera,37.075662,-104.118354
81082,CO,Jansen,37.175475,-104.500715
81084,CO,Lycan,37.57476,-102.320128
81087,CO,Vilas,37.373043,-102.44374
81089,CO,Farista,37.638159,-104.804301
81090,CO,Walsh,37.352057,-102.253716
81091,CO,Weston,37.170211,-104.824749
81092,CO,Wiley,38.158978,-102.714734
81101,CO,Alamosa,37.470274,-105.878602
81120,CO,Antonito,37.085473,-106.037946
81121,CO,Arboles,37.101633,-107.390749
81122,CO,Bayfield,37.260328,-107.613728
81123,CO,Blanca,37.431702,-105.517784
81125,CO,Center,37.734295,-106.090628
81130,CO,Creede,37.816367,-106.927679
81132,CO,La Garita,37.671346,-106.350502
81133,CO,Fort Garland,37.426978,-105.404879
81136,CO,Hooper,37.723203,-105.871193
81137,CO,Ignacio,37.126412,-107.639465
81140,CO,La Jara,37.290726,-106.005427
81143,CO,Moffat,38.045195,-105.841051
81144,CO,Monte Vista,37.573095,-106.140833
81146,CO,Mosca,37.635796,-105.806866
81147,CO,Pagosa Springs,37.252345,-107.038497
81149,CO,Saguache,38.09775,-106.187592
81150,CO,San Acacio,37.201347,-105.439949
81151,CO,Sanford,37.208724,-105.928588
81152,CO,Mesita,37.05057,-105.575625
81153,CO,San Pablo,37.134872,-105.346196
81154,CO,South Fork,37.67248,-106.612451
81155,CO,Villa Grove,38.2952,-106.110183
81201,CO,Salida,38.525909,-105.997818
81210,CO,Almont,38.64997,-106.627099
81211,CO,Buena Vista,38.838003,-106.147121
81212,CO,Canon City,38.445074,-105.217829
81220,CO,Cimarron,38.387633,-107.482366
81224,CO,Crested Butte,38.869081,-106.961899
81226,CO,Florence,38.385016,-105.123233
81228,CO,Granite,39.095294,-106.311417
81230,CO,Gunnison,38.551056,-106.931013
81233,CO,Howard,38.388519,-105.747124
81235,CO,Lake City,37.986769,-107.302037
81236,CO,Nathrop,38.710343,-106.116576
81239,CO,Parlin,38.508762,-106.677995
81240,CO,Penrose,38.433622,-105.011325
81241,CO,Pitkin,38.608542,-106.516774
81243,CO,Powderhorn,38.282165,-107.108449
81250,CO,81250,38.395556,-105.531825
81251,CO,Twin Lakes,39.090231,-106.435079
81252,CO,Westcliffe,38.123023,-105.433154
81253,CO,Wetmore,38.189857,-105.106441
81301,CO,Durango,37.287388,-107.861684
81320,CO,Cahone,37.69163,-108.579442
81321,CO,Cortez,37.354949,-108.583726
81323,CO,Dolores,37.466571,-108.471748
81324,CO,Dove Creek,37.763199,-108.918147
81325,CO,Egnar,37.934448,-108.929889
81326,CO,Hesperus,37.165368,-108.121917
81327,CO,Lewis,37.47101,-108.61891
81328,CO,Mancos,37.347133,-108.298242
81331,CO,Pleasant View,37.588763,-108.809487
81334,CO,Towaoc,37.208408,-108.719993
81335,CO,Yellow Jacket,37.499526,-108.785167
81401,CO,Montrose,38.46783,-107.875182
81410,CO,Austin,38.797544,-107.97384
81411,CO,Bedrock,38.384352,-108.953224
81413,CO,Cedaredge,38.911878,-107.926786
81415,CO,Crawford,38.69408,-107.614864
81416,CO,Delta,38.734891,-108.060421
81418,CO,Eckert,38.844982,-107.962452
81419,CO,Hotchkiss,38.812417,-107.747173
81422,CO,Naturita,38.222559,-108.572836
81423,CO,Norwood,38.110406,-108.284472
81424,CO,Nucla,38.268219,-108.547644
81425,CO,Olathe,38.597575,-107.992118
81426,CO,Ophir,37.856197,-107.851961
81427,CO,Ouray,38.02576,-107.67261
81428,CO,Paonia,38.864978,-107.598483
81430,CO,Placerville,38.008759,-108.024775
81431,CO,Redvale,38.186452,-108.389536
81432,CO,Ridgway,38.138074,-107.753341
81433,CO,Silverton,37.808995,-107.666686
81434,CO,Somerset,38.946801,-107.378145
81435,CO,Telluride,37.940028,-107.821371
81501,CO,Grand Junction,39.078326,-108.545692
81503,CO,Grand Junction,39.056777,-108.575609
81504,CO,Fruitvale,39.083136,-108.489094
81505,CO,Grand Junction,39.107097,-108.596834
81506,CO,Grand Junction,39.103209,-108.54911
81520,CO,Clifton,39.0805,-108.449628
81521,CO,Fruita,39.163656,-108.721757
81522,CO,Gateway,38.915136,-108.791344
81524,CO,Loma,39.227896,-108.814902
81525,CO,Mack,39.255367,-108.929597
81526,CO,Palisade,39.103178,-108.367977
81527,CO,Whitewater,38.974422,-108.399042
81601,CO,Glenwood Springs,39.529607,-107.325188
81610,CO,Dinosaur,40.256609,-108.965184
81611,CO,Aspen,39.195139,-106.823593
81621,CO,Basalt,39.353466,-106.998752
81623,CO,Marble,39.385431,-107.171012
81624,CO,Collbran,39.245267,-107.924945
81625,CO,Craig,40.522351,-107.561458
81630,CO,De Beque,39.311764,-108.230405
81631,CO,Eagle,39.634138,-106.75884
81633,CO,Elk Springs,40.414588,-108.419729
81635,CO,Battlement Mesa,39.440729,-108.038038
81637,CO,Gypsum,39.661848,-106.967083
81638,CO,Hamilton,40.32504,-107.584089
81639,CO,Hayden,40.494487,-107.257055
81640,CO,Maybell,40.650649,-108.272264
81641,CO,Meeker,40.038726,-107.892498
81642,CO,Meredith,39.335348,-106.67823
81643,CO,Mesa,39.161161,-108.104401
81647,CO,New Castle,39.570922,-107.542758
81648,CO,Rangely,40.082844,-108.799148
81650,CO,Rifle,39.549073,-107.789804
81652,CO,Silt,39.541464,-107.657411
81653,CO,Slater,40.947985,-107.497178
81654,CO,Snowmass,39.250059,-106.950839
81657,CO,Vail,39.623793,-106.463454
