BaseLevel;BattleID;DateTime;Force;Lat;Lng;Name;ReassignedID;ReassignedLevel;SearchTerms;TemporalID;TroopID;TroopTemporalLinkID
Unit;{4F8C5E80-D570-4A80-B0C2-AE39CA24D776};1862-06-26 18:30:00;Union;37.6126951866;-77.345333075300005;22 Massachusetts;;;twenty two, 22, twenty second, massachusetts, MA;{71529890-D4F5-4E7F-9380-783328862837};{1CB69824-A9BB-4A37-82D1-4CC7982FC715};{D5176714-6B9A-4426-8E80-077072FF6BD1}
Unit;{4F8C5E80-D570-4A80-B0C2-AE39CA24D776};1862-06-26 18:00:00;Union;37.6127091261;-77.338628275100007;Battery C, Massachusetts Light Artillery;;;Battery C, Massachusetts Light Artillery, MA;{DE1E4F96-DA61-4649-970E-68E06453CC4B};{FA560699-A3EE-41F8-AD70-8F83110B0073};{E8D2142B-1CB9-4BB2-9F85-088DBD020A9F}
Unit;{4F8C5E80-D570-4A80-B0C2-AE39CA24D776};1862-06-26 18:30:00;Confederate;37.597005360600001;-77.3786987541;Orange Artillery;;;orange artillery, VA;{71529890-D4F5-4E7F-9380-783328862837};{6EC15152-1586-4251-B8F9-6C6E4CC2EDF4};{2B261BDA-3D10-47D1-AC7D-08FCA7C3DD57}
Unit;{4F8C5E80-D570-4A80-B0C2-AE39CA24D776};1862-06-26 17:00:00;Confederate;37.6016348259;-77.368019494600006;22 North Carolina;;;twenty two, 22, twenty second, north carolina, NC;{9BABFE02-2E08-4F68-A5D5-CF0628B3D2E7};{DA24C9F0-8450-4FC6-9085-F9DDD981DF1B};{8C0EA07A-BFE1-4499-9A21-090ED16AC891}
Unit;{4F8C5E80-D570-4A80-B0C2-AE39CA24D776};1862-06-26 19:30:00;Union;37.612377537999997;-77.350885497700006;9 Massachusetts;;;nine, 9, ninth, massachusetts, MA;{2652D569-4CD0-4995-8CC8-82EA8F391192};{7A30DD02-9EDA-4590-AD90-ACFD0A699005};{E3CFE9FC-3EC3-4CDE-A4D0-09CD981CF9C3}
Unit;{4F8C5E80-D570-4A80-B0C2-AE39CA24D776};1862-06-26 19:30:00;Confederate;37.601958027800002;-77.361330807599998;14 Tennessee;;;fourteen, 14, fourteenth, tennessee, TN;{2652D569-4CD0-4995-8CC8-82EA8F391192};{85106D6D-D5D8-4904-A187-C1BFB5B3DF4D};{B9F7A3D4-C0CC-4495-B32F-0A11892320FB}
Unit;{4F8C5E80-D570-4A80-B0C2-AE39CA24D776};1862-06-26 18:30:00;Union;37.609700723899998;-77.357485244399996;14 New York;;;fourteen, 14, fourteenth, new york, NY;{71529890-D4F5-4E7F-9380-783328862837};{67726331-AB7F-4CAB-A951-AAED574CA027};{30AE1BEE-A8F3-4469-A091-0AB3BEBF0747}
Unit;{4F8C5E80-D570-4A80-B0C2-AE39CA24D776};1862-06-26 17:00:00;Union;37.595073427999999;-77.357137684400001;12 Pennsylvania Reserves;;;twelve, 12, twelfth, pennsylvania reserves, PA;{9BABFE02-2E08-4F68-A5D5-CF0628B3D2E7};{B726EF6C-99E8-4440-BF6E-DBFE5B2BA94E};{D5C598C9-460B-48D7-ACAE-0B1B45AEE012}
Unit;{4F8C5E80-D570-4A80-B0C2-AE39CA24D776};1862-06-26 15:30:00;Confederate;37.615304852800001;-77.3801675773;40 Virginia;;;forty, 40, fortieth, virginia, VA;{7A8D9FC7-4C28-43FE-BDB2-19C2515CA6AC};{C2ABF7A4-4DEE-4496-891D-C9324661B3DE};{604EDB21-EEBF-407E-83B7-0BF104152C36}
Brigade;{4F8C5E80-D570-4A80-B0C2-AE39CA24D776};1862-06-26 19:30:00;Confederate;37.602335152199998;-77.368463864899994;Field's Brigade;;;field's,first,1st;{2652D569-4CD0-4995-8CC8-82EA8F391192};{5C2C3A47-104F-4C8F-A31D-ACC695F08372};{10246E21-AA07-422F-BC97-0C09387356F7}
Brigade;{4F8C5E80-D570-4A80-B0C2-AE39CA24D776};1862-06-26 18:30:00;Confederate;37.597778429500003;-77.360994860399998;Ripley's Brigade;;;ripley's,fifth,5th;{71529890-D4F5-4E7F-9380-783328862837};{65D880CB-EC21-4757-B4C7-8FF6D7720D7D};{D3CE731A-10E9-43F1-94CC-0C2EE4584501}
Unit;{4F8C5E80-D570-4A80-B0C2-AE39CA24D776};1862-06-26 19:30:00;Confederate;37.623343554500003;-77.339201215200006;Brockenbrough Artillery;;;brockenbrough artillery, MD;{2652D569-4CD0-4995-8CC8-82EA8F391192};{30D573B2-4FF3-477E-9F55-7007E21871EF};{CF517C63-E034-4AF1-80C4-0D54CB2D49C4}
Unit;{4F8C5E80-D570-4A80-B0C2-AE39CA24D776};1862-06-26 18:30:00;Confederate;37.606139239500003;-77.363392539299994;19 Georgia;;;nineteen, 19, nineteenth, georgia, GA;{71529890-D4F5-4E7F-9380-783328862837};{330DDDD6-B0AC-4106-B227-3AD741696F9D};{24BEF483-74DD-421C-9ECB-0D9A724DF0B0}
Unit;{4F8C5E80-D570-4A80-B0C2-AE39CA24D776};1862-06-26 15:30:00;Union;37.606357271199997;-77.369638446099998;1 Pennsylvania Reserves;;;one, 1, first, pennsylvania reserves, PA;{7A8D9FC7-4C28-43FE-BDB2-19C2515CA6AC};{FFFAF785-C43D-4863-9826-CD1FE289990B};{53E1AD20-A9DC-450A-8E6C-0E59CD570EB1}
Unit;{4F8C5E80-D570-4A80-B0C2-AE39CA24D776};1862-06-26 18:30:00;Union;37.6131610471;-77.350338863600001;Battery C, 1 Rhode Island Light Artillery;;;battery c, 1, one, rhode Island Light artillery, RI;{71529890-D4F5-4E7F-9380-783328862837};{61FE192A-309F-4889-90A9-14C5F6600162};{7E64F93E-7637-4AD7-9128-0E64B16775D4}
Brigade;{4F8C5E80-D570-4A80-B0C2-AE39CA24D776};1862-06-26 17:00:00;Union;37.599526348300003;-77.352139104900004;Seymour's Brigade;;;seymour's,third,3rd;{9BABFE02-2E08-4F68-A5D5-CF0628B3D2E7};{B6A9C2C9-7008-42B0-BA52-41C02DBEA19F};{5B3D714A-C689-43A6-8832-0E79E06F9BFC}
Unit;{4F8C5E80-D570-4A80-B0C2-AE39CA24D776};1862-06-26 18:00:00;Union;37.581404487999997;-77.325185411000007;Battery F, 1 Connecticut Heavy Artillery;;;battery f, one, 1, first, connecticut heavy artillery, CT;{DE1E4F96-DA61-4649-970E-68E06453CC4B};{9CB7FCD3-52B4-4E9D-B65D-BE5E1E3641A5};{7D630AD2-FF6B-4D52-89F8-0EBB5C0B6D78}
Division;{4F8C5E80-D570-4A80-B0C2-AE39CA24D776};1862-06-26 18:00:00;Union;37.605081878699998;-77.338373832599999;McCall's Division                                                                                   ;;;mccall's division;{DE1E4F96-DA61-4649-970E-68E06453CC4B};{31344F2D-235A-4A06-A0F7-873A7ADFAC18};{B786F3B3-F1EA-41B5-BD1B-0EF688BBC659}
Brigade;{4F8C5E80-D570-4A80-B0C2-AE39CA24D776};1862-06-26 18:00:00;Confederate;37.597132439299997;-77.374604596799998;Ripley's Brigade;;;ripley's,fifth,5th;{DE1E4F96-DA61-4649-970E-68E06453CC4B};{65D880CB-EC21-4757-B4C7-8FF6D7720D7D};{F13AFE2F-7737-4FBE-A113-0FE6AB22BDDF}
Unit;{4F8C5E80-D570-4A80-B0C2-AE39CA24D776};1862-06-26 15:30:00;Confederate;37.613734922500001;-77.407308429500006;Andrews's Battery;;;andrew's battery, MD;{7A8D9FC7-4C28-43FE-BDB2-19C2515CA6AC};{E0D0557D-02C2-4961-B4C8-2531CB37130D};{1A6A175E-AF47-4829-849F-11EF1C0BF071}
Brigade;{4F8C5E80-D570-4A80-B0C2-AE39CA24D776};1862-06-26 18:00:00;Confederate;37.6018590718;-77.382546156399997;Gregg's Brigade;;;gregg's,second,2nd;{DE1E4F96-DA61-4649-970E-68E06453CC4B};{59A96614-BA65-4FD7-983C-2A8D12214E1B};{B2CEE4EA-7C7F-402C-8CA7-12290B9812F2}
Unit;{4F8C5E80-D570-4A80-B0C2-AE39CA24D776};1862-06-26 18:30:00;Union;37.608998891200002;-77.358491383499995;Battery B, 1 Pennsylvania Light Artillery;;;battery b, one, 1, first, pennsylvania light artillery, PA;{71529890-D4F5-4E7F-9380-783328862837};{D12E2E86-E425-413A-8D2C-F5AC71C082BA};{075DC54C-1DDE-4650-9B8E-123CFFE78D24}
Division;{4F8C5E80-D570-4A80-B0C2-AE39CA24D776};1862-06-26 18:00:00;Union;37.5951072497;-77.325666958900001;Sykes's Division                                                                                    ;;;sykes's division;{DE1E4F96-DA61-4649-970E-68E06453CC4B};{E3984B32-BB3A-4159-A292-EA83D953590C};{51A9C85B-F81D-4C37-8A17-1242D7D1F9C2}
Brigade;{4F8C5E80-D570-4A80-B0C2-AE39CA24D776};1862-06-26 18:30:00;Confederate;37.602335152199998;-77.368463864899994;Field's Brigade;;;field's,first,1st;{71529890-D4F5-4E7F-9380-783328862837};{5C2C3A47-104F-4C8F-A31D-ACC695F08372};{BBAB6716-D46E-4738-A721-12E526CDED2D}
Unit;{4F8C5E80-D570-4A80-B0C2-AE39CA24D776};1862-06-26 18:00:00;Confederate;37.588539163;-77.389118234999998;Hanover Artillery;;;hanover artillery, VA;{DE1E4F96-DA61-4649-970E-68E06453CC4B};{C82CEB86-7FC3-4C16-B2E4-E608523D9D7E};{570D1723-D5FE-4EF2-9675-12EC5D445DC3}
Unit;{4F8C5E80-D570-4A80-B0C2-AE39CA24D776};1862-06-26 19:30:00;Confederate;37.576479845000001;-77.377287863000006;Fluvanna Battery;;;fluvanna battery, VA;{2652D569-4CD0-4995-8CC8-82EA8F391192};{5D7E3116-09B1-4F1C-8C8B-B63486A9BA55};{B48527E7-FC90-4168-AB99-1355A0984F78}
Unit;{4F8C5E80-D570-4A80-B0C2-AE39CA24D776};1862-06-26 15:30:00;Confederate;37.584487743799997;-77.389257347099999;Letcher Artillery;;;letcher artillery, VA;{7A8D9FC7-4C28-43FE-BDB2-19C2515CA6AC};{DC436744-021A-4331-8BDE-CD5A27E2AF82};{0EEBFE8B-5F2A-4027-B8AB-13E5CD94903D}
Brigade;{4F8C5E80-D570-4A80-B0C2-AE39CA24D776};1862-06-26 18:00:00;Confederate;37.587330573599999;-77.387677692500006;Rodes's Brigade;;;rodes's,first,1st;{DE1E4F96-DA61-4649-970E-68E06453CC4B};{FE43706F-4ABB-43FA-801C-409C98F83228};{50A26199-428B-44D6-8E95-14DEBF609F23}
Unit;{4F8C5E80-D570-4A80-B0C2-AE39CA24D776};1862-06-26 17:00:00;Confederate;37.576479845000001;-77.377287863000006;Fluvanna Battery;;;fluvanna battery, VA;{9BABFE02-2E08-4F68-A5D5-CF0628B3D2E7};{5D7E3116-09B1-4F1C-8C8B-B63486A9BA55};{B974289C-18B9-4D97-A15F-14E3A924A5D3}
Unit;{4F8C5E80-D570-4A80-B0C2-AE39CA24D776};1862-06-26 18:00:00;Confederate;37.601587783200003;-77.366109935300003;Andrews's Battery;;;andrew's battery, MD;{DE1E4F96-DA61-4649-970E-68E06453CC4B};{E0D0557D-02C2-4961-B4C8-2531CB37130D};{BEA3D036-5E26-46A2-B201-1631A406E180}
Brigade;{4F8C5E80-D570-4A80-B0C2-AE39CA24D776};1862-06-26 17:00:00;Union;37.609422385499997;-77.354870163399994;Reynolds's Brigade;;;reynolds's,first,1st;{9BABFE02-2E08-4F68-A5D5-CF0628B3D2E7};{EC27C221-99EA-4533-8C53-58AE6CB04D71};{F0FA5119-974F-4C3B-AA5A-163D08D5B476}
Unit;{4F8C5E80-D570-4A80-B0C2-AE39CA24D776};1862-06-26 15:30:00;Confederate;37.618173287300003;-77.399167972300006;Fredericksburg Artillery;;;fredericksburg artillery, VA;{7A8D9FC7-4C28-43FE-BDB2-19C2515CA6AC};{91A861CA-3558-4425-9733-2E5DB7DA3DB4};{37227701-CABC-41FE-9217-166D4F681E77}
Unit;{4F8C5E80-D570-4A80-B0C2-AE39CA24D776};1862-06-26 17:00:00;Union;37.605408976500001;-77.359935182100003;5 Pennsylvania Reserves;;;five, 5, fifth, pennsylvania reserves, PA;{9BABFE02-2E08-4F68-A5D5-CF0628B3D2E7};{1AAE0B5D-56AE-40B9-8D09-A17ED28F7805};{69540135-E654-4EA6-BB9A-170CE69A85BC}
Unit;{4F8C5E80-D570-4A80-B0C2-AE39CA24D776};1862-06-26 19:30:00;Union;37.592096272699997;-77.3560156578;7 Pennsylvania Reserves;;;seven, 7, pennsylvania, PA;{2652D569-4CD0-4995-8CC8-82EA8F391192};{169DC272-ED88-4177-B0A6-18AA5EC1C41C};{34DA94D0-8807-4BBE-BD16-17BE9A61EA79}
Corps;{4F8C5E80-D570-4A80-B0C2-AE39CA24D776};1862-06-26 18:00:00;Union;37.6065430405;-77.326537297599998;Fifth;;;fifth,5th;{DE1E4F96-DA61-4649-970E-68E06453CC4B};{950487FB-5FCF-4BDD-B680-0DC296A3F58D};{71E0640E-0287-42B0-9FDB-1829D553ADF2}
Brigade;{4F8C5E80-D570-4A80-B0C2-AE39CA24D776};1862-06-26 19:30:00;Confederate;37.5910687784;-77.363315845200006;Pender's Brigade;;;pender's,sixth,6th;{2652D569-4CD0-4995-8CC8-82EA8F391192};{2DEEDB6E-34F7-4EDD-B122-B44B5EDBBA54};{EE01F204-998F-4E4A-AE7D-1877AF69F6D2}
Unit;{4F8C5E80-D570-4A80-B0C2-AE39CA24D776};1862-06-26 15:30:00;Confederate;37.617123909699998;-77.384388550699995;Johnson's Battery;;;johnson's battery, VA;{7A8D9FC7-4C28-43FE-BDB2-19C2515CA6AC};{0FE520DE-CF30-410A-AF87-38661DABE28A};{AFCAE07E-3C0F-41EA-9E92-18A2E53DF1C3}
Division;{4F8C5E80-D570-4A80-B0C2-AE39CA24D776};1862-06-26 15:30:00;Confederate;37.578586426699999;-77.393787247600002;D.H. Hill's Division                                                                                ;;;d.h. hill's division;{7A8D9FC7-4C28-43FE-BDB2-19C2515CA6AC};{C5AE6C65-A5BA-4E4F-92E1-DC7BFF746763};{FA498FB3-4E8B-4DFC-86D6-18E5A8B0BB6B}
Unit;{4F8C5E80-D570-4A80-B0C2-AE39CA24D776};1862-06-26 19:30:00;Confederate;37.600778691999999;-77.363041129199999;16 North Carolina;;;sixteen, 16, sixteenth, north carolina, NC;{2652D569-4CD0-4995-8CC8-82EA8F391192};{F628301F-6390-4C71-89A8-489BE855BD30};{B0B5F878-BDD9-420B-8EAD-18EDB1DAB9C4}
Unit;{4F8C5E80-D570-4A80-B0C2-AE39CA24D776};1862-06-26 17:00:00;Confederate;37.584487743799997;-77.389257347099999;Letcher Artillery;;;letcher artillery, VA;{9BABFE02-2E08-4F68-A5D5-CF0628B3D2E7};{DC436744-021A-4331-8BDE-CD5A27E2AF82};{C38917A2-5A34-477D-BD8E-1999A1721A8E}
Unit;{4F8C5E80-D570-4A80-B0C2-AE39CA24D776};1862-06-26 18:30:00;Confederate;37.608454012599999;-77.363695318599994;49 Georgia;;;forty nine, 49, forty ninth, georgia, GA;{71529890-D4F5-4E7F-9380-783328862837};{D98BC4B0-22DC-4633-A6A6-F3B96F871D17};{9A37E2A3-680D-400F-8F04-1A2F5C3FA525}
Unit;{4F8C5E80-D570-4A80-B0C2-AE39CA24D776};1862-06-26 15:30:00;Union;37.578934149600002;-77.332244609300005;22 Massachusetts;;;twenty two, 22, twenty second, massachusetts, MA;{7A8D9FC7-4C28-43FE-BDB2-19C2515CA6AC};{1CB69824-A9BB-4A37-82D1-4CC7982FC715};{01289588-6899-4604-94E8-1AF40ADE7D3E}
Brigade;{4F8C5E80-D570-4A80-B0C2-AE39CA24D776};1862-06-26 19:30:00;Confederate;37.593823524999998;-77.384289690900005;Pickett's Brigade;;;pickett's,third,3rd;{2652D569-4CD0-4995-8CC8-82EA8F391192};{14882EEA-58E6-43DA-891B-9029F93449C6};{2A7212C2-275C-447A-B55C-1B119E61FE63}
Unit;{4F8C5E80-D570-4A80-B0C2-AE39CA24D776};1862-06-26 19:30:00;Union;37.610541088200002;-77.356369200200007;Battery G, 1 Pennsylvania Light Artillery;;;battery g, one, 1, first, pennsylvania light artillery, PA;{2652D569-4CD0-4995-8CC8-82EA8F391192};{2E385C81-0E0A-4A61-839D-73E4838B44AE};{E5B03203-CD16-4DC9-8405-1BE231AF21D8}
Unit;{4F8C5E80-D570-4A80-B0C2-AE39CA24D776};1862-06-26 17:00:00;Union;37.611713376099999;-77.3531623059;1 Pennsylvania Reserves;;;one, 1, first, pennsylvania reserves, PA;{9BABFE02-2E08-4F68-A5D5-CF0628B3D2E7};{FFFAF785-C43D-4863-9826-CD1FE289990B};{F3E21E6E-409C-4CA4-A048-1C3D623FACB5}
Unit;{4F8C5E80-D570-4A80-B0C2-AE39CA24D776};1862-06-26 18:30:00;Confederate;37.615346828699998;-77.362000568699997;3 Louisiana Battalion;;;three, 3, third, louisiana battalion, LA;{71529890-D4F5-4E7F-9380-783328862837};{47BEE613-6389-4145-A3F7-767AB031EB6D};{A675131C-6536-46AB-BEAB-1C4B0D104649}
Unit;{4F8C5E80-D570-4A80-B0C2-AE39CA24D776};1862-06-26 17:00:00;Confederate;37.602402721899999;-77.365811766899995;Bachman's Battery;;;bachman's battery, SC;{9BABFE02-2E08-4F68-A5D5-CF0628B3D2E7};{A6C79D53-32FE-4045-8628-5959987F6BE0};{6504B257-8AFC-4D7D-9BFB-1D8A416CF8EF}
Unit;{4F8C5E80-D570-4A80-B0C2-AE39CA24D776};1862-06-26 17:00:00;Union;37.610905213800002;-77.339952760599999;4 Pennsylvania;;;four, 4, fourth, pennsylvania, PA;{9BABFE02-2E08-4F68-A5D5-CF0628B3D2E7};{B249E994-DB3E-49DD-A1F6-825B7A66B486};{17FE6A60-106C-4FF3-9803-1D8E6296236F}
Unit;{4F8C5E80-D570-4A80-B0C2-AE39CA24D776};1862-06-26 15:30:00;Union;37.608696160500003;-77.372782694500003;4 Pennsylvania;;;four, 4, fourth, pennsylvania, PA;{7A8D9FC7-4C28-43FE-BDB2-19C2515CA6AC};{B249E994-DB3E-49DD-A1F6-825B7A66B486};{2C1C369C-3AE7-467D-A3EA-1E2C6D27EBAF}
Brigade;{4F8C5E80-D570-4A80-B0C2-AE39CA24D776};1862-06-26 19:30:00;Confederate;37.596181283;-77.375161093700001;Rodes's Brigade;;;rodes's,first,1st;{2652D569-4CD0-4995-8CC8-82EA8F391192};{FE43706F-4ABB-43FA-801C-409C98F83228};{3C832CAB-ECFF-4B86-A5C7-1E407A4610FC}
Unit;{4F8C5E80-D570-4A80-B0C2-AE39CA24D776};1862-06-26 18:00:00;Union;37.611208884;-77.338548547000002;8 Illinois;;;8 illinois, eight, IL;{DE1E4F96-DA61-4649-970E-68E06453CC4B};{06FFE69A-3784-4CEA-948D-DECCFA636718};{D7917740-9242-48E5-9A9E-1E4D535AFCC4}
Unit;{4F8C5E80-D570-4A80-B0C2-AE39CA24D776};1862-06-26 17:00:00;Confederate;37.580707267299999;-77.392492481900007;Masters' Battery;;;master's battery, VA;{9BABFE02-2E08-4F68-A5D5-CF0628B3D2E7};{BC6614A5-A5E8-4713-A5E8-304FD83FFACC};{C7A69760-2A9D-4224-9EDF-1E66FDB27854}
Unit;{4F8C5E80-D570-4A80-B0C2-AE39CA24D776};1862-06-26 15:30:00;Union;37.591696685099997;-77.318139229500005;Battery G, 1 Pennsylvania Light Artillery;;;battery g, one, 1, first, pennsylvania light artillery, PA;{7A8D9FC7-4C28-43FE-BDB2-19C2515CA6AC};{2E385C81-0E0A-4A61-839D-73E4838B44AE};{A31964AB-5B3E-4D50-8B56-1FC3C53D348B}
Unit;{4F8C5E80-D570-4A80-B0C2-AE39CA24D776};1862-06-26 18:00:00;Union;37.607591667999998;-77.357561118000007;1 U.S. Sharpshooters;;;1 u.s. sharpshooters,us;{DE1E4F96-DA61-4649-970E-68E06453CC4B};{BF2A1AD1-9889-4553-80EE-C5D2932B9501};{4464AE70-7EA6-43C4-9330-22A4710759E2}
Unit;{4F8C5E80-D570-4A80-B0C2-AE39CA24D776};1862-06-26 18:30:00;Union;37.596772385800001;-77.337368699899997;Batteries L & M, 3 U.S. Artillery;;;battery, m, l, three, 3, third, u.s., united states, artillery, US;{71529890-D4F5-4E7F-9380-783328862837};{DD22CA1B-6B61-4760-983D-DC92FD83864F};{12FE0F6F-83EE-40D1-8BE3-230CB2AF5009}
Unit;{4F8C5E80-D570-4A80-B0C2-AE39CA24D776};1862-06-26 19:30:00;Confederate;37.598194711300003;-77.381091669300005;3rd Richmond Howitzers;;;third, 3rd, richmond howitzers, VA;{2652D569-4CD0-4995-8CC8-82EA8F391192};{F15FF1DA-B3D7-444D-A83A-3625D2879837};{2CA7DC60-0AEC-41C4-A9BA-236374763306}
Brigade;{4F8C5E80-D570-4A80-B0C2-AE39CA24D776};1862-06-26 19:30:00;Confederate;37.6004613347;-77.371850829600007;G.B. Anderson's Brigade;;;g.b. anderson's,gb,second,2nd;{2652D569-4CD0-4995-8CC8-82EA8F391192};{69076B92-40C1-4BED-B577-449179635C59};{EF654042-1DBD-4E91-BD88-23DCE554E76B}
Unit;{4F8C5E80-D570-4A80-B0C2-AE39CA24D776};1862-06-26 18:30:00;Confederate;37.58671579;-77.392413727999994;Milledge Battery;;;milledge battery, VA;{71529890-D4F5-4E7F-9380-783328862837};{39848BEA-2B7C-463C-B7BE-B87EA7A84B73};{CF734AA1-773E-4DB1-B0E8-247C708A63D4}
Unit;{4F8C5E80-D570-4A80-B0C2-AE39CA24D776};1862-06-26 17:00:00;Confederate;37.582767602399997;-77.392614395799995;Rhett's Artillery;;;rhett's artillery, SC;{9BABFE02-2E08-4F68-A5D5-CF0628B3D2E7};{8FA2E643-9C67-4250-958C-C640F640B7AD};{3ADFA203-155E-4BE7-9795-24CC3945FA59}
Unit;{4F8C5E80-D570-4A80-B0C2-AE39CA24D776};1862-06-26 17:00:00;Union;37.5979194405;-77.355147099800007;Battery A, 1 Pennsylvania Light Artillery;;;battery a, one, 1, first, pennsylvania light artillery, PA;{9BABFE02-2E08-4F68-A5D5-CF0628B3D2E7};{FE67DB95-9FA7-4E2C-8D67-F8B7E54BCE5D};{93F920ED-BDFB-4C97-B12F-252CA3AB7326}
Brigade;{4F8C5E80-D570-4A80-B0C2-AE39CA24D776};1862-06-26 18:00:00;Confederate;37.5938401238;-77.368770173100003;Pender's Brigade;;;pender's,sixth,6th;{DE1E4F96-DA61-4649-970E-68E06453CC4B};{2DEEDB6E-34F7-4EDD-B122-B44B5EDBBA54};{B49157D8-8431-4677-8C01-268CDE761938}
Unit;{4F8C5E80-D570-4A80-B0C2-AE39CA24D776};1862-06-26 18:00:00;Confederate;37.602215152100001;-77.361613555299996;60 Virginia;;;sixty, 60, sixtieth, virginia, VA;{DE1E4F96-DA61-4649-970E-68E06453CC4B};{84F12048-827F-4433-9A41-B5120B7A3264};{6E4B58E5-3389-4526-9201-26B38DEE336D}
Unit;{4F8C5E80-D570-4A80-B0C2-AE39CA24D776};1862-06-26 19:30:00;Confederate;37.596435850500001;-77.377606783800005;King William Artillery;;;king william artillery, VA;{2652D569-4CD0-4995-8CC8-82EA8F391192};{972932B2-3F1A-4DD0-A7B3-EDC4EE531D03};{938ED49F-F8CC-486F-994D-273AF04232FF}
Unit;{4F8C5E80-D570-4A80-B0C2-AE39CA24D776};1862-06-26 18:00:00;Union;37.601944613599997;-77.352156416900002;4 Pennsylvania Reserves;;;four, 4, fourth, pennsylvania reserves, PA;{DE1E4F96-DA61-4649-970E-68E06453CC4B};{39CB48A9-0011-46BE-ACC2-526E93193059};{149F56CE-3076-4CCD-B34A-27549F001610}
Unit;{4F8C5E80-D570-4A80-B0C2-AE39CA24D776};1862-06-26 18:30:00;Union;37.612377537999997;-77.350885497700006;9 Massachusetts;;;nine, 9, ninth, massachusetts, MA;{71529890-D4F5-4E7F-9380-783328862837};{7A30DD02-9EDA-4590-AD90-ACFD0A699005};{75DAAC83-5F25-47C7-BAF5-280076CBD67D}
